seed,sun_x,sun_y,sun_z,steps,height,crown_volume,crown_radius,asymmetry_radius,consumed_AP,AP_in_growth_radius
1001,30.0,0.0,10.0,526,8.407245398731801,45.06333703072424,3.486744087084901,28.31844467801059,42,40
1002,30.0,0.0,10.0,527,8.339094986516827,60.039963237369044,3.4216630867349824,44.975209999849554,46,44
1003,30.0,0.0,10.0,533,8.381818858155798,62.504828981561076,3.756544728002554,10.760205809629374,43,44
1004,30.0,0.0,10.0,527,8.363060946597598,54.291303856389945,2.9090784866502517,19.26270390520761,53,50
1005,30.0,0.0,10.0,524,8.41927078368698,45.82239082989151,3.16296249829335,4.004383748222945,37,37
1006,21.213203435596427,21.213203435596427,10.0,526,8.45136418641619,55.15969319052445,3.486901029491868,17.92694870579479,49,45
1007,21.213203435596427,21.213203435596427,10.0,527,8.205471472038058,66.29956045117392,3.7172035190443764,13.465743645510347,69,65
1008,21.213203435596427,21.213203435596427,10.0,528,8.298601606593056,44.85864208484366,3.1713612976727994,14.881653059052926,44,43
1009,21.213203435596427,21.213203435596427,10.0,526,8.057545793788128,57.439104015237966,3.6823899210624385,27.29910816294928,52,47
1010,21.213203435596427,21.213203435596427,10.0,527,8.16983866532059,51.55105806711733,3.326087546340234,5.386114615474365,43,39
1011,1.83697019872103e-15,30.0,10.0,529,8.435743222291793,76.70242676467143,3.785069410484892,7.306391621334229,90,80
1012,1.83697019872103e-15,30.0,10.0,528,8.460607358501086,72.12560983090941,3.5631603570558923,47.582864303226096,99,79
1013,1.83697019872103e-15,30.0,10.0,527,8.50702835477926,73.94761087284543,3.6885038164533412,29.5582409413201,97,80
1014,1.83697019872103e-15,30.0,10.0,527,8.634758521809406,75.55391584867647,3.756234659513761,13.621625127672703,99,88
1015,1.83697019872103e-15,30.0,10.0,529,8.540135499924325,81.12748650604523,3.7830539433233077,78.97005240615722,93,77
1016,-21.213203435596423,21.213203435596427,10.0,19,8.011708049581605,42.20930462420057,2.90071954157202,23.485708256959377,160,198
1017,-21.213203435596423,21.213203435596427,10.0,19,8.44325120212613,52.319439184410896,3.357659350789185,24.890416042690944,172,189
1018,-21.213203435596423,21.213203435596427,10.0,19,7.943522630895612,48.04447285706187,2.869407721334749,15.827578022595267,172,192
1019,-21.213203435596423,21.213203435596427,10.0,19,7.977327678388972,46.526208059029095,3.181566012060072,23.27565668232331,152,184
1020,-21.213203435596423,21.213203435596427,10.0,19,8.129507897272783,50.918502565006925,3.2975184921940377,22.66976662803317,171,181
1021,-30.0,3.67394039744206e-15,10.0,18,7.800063820690126,47.64735397563481,2.9988100435147538,37.73100507789164,173,237
1022,-30.0,3.67394039744206e-15,10.0,18,7.833694845062837,35.54366637108424,2.615476019878733,41.281681502416596,162,226
1023,-30.0,3.67394039744206e-15,10.0,18,7.826264310676225,40.78115477020659,3.1298530353686567,19.49358225115473,162,244
1024,-30.0,3.67394039744206e-15,10.0,18,8.024708855737096,35.56694562718639,2.921579111417323,16.553747324991928,157,220
1025,-30.0,3.67394039744206e-15,10.0,18,7.633072750120215,35.67836068008565,2.810665388348699,40.82562307275084,154,224
1026,-21.21320343559643,-21.213203435596423,10.0,19,8.043189492663332,47.133801886468135,3.0345942911063086,13.474464153039039,167,199
1027,-21.21320343559643,-21.213203435596423,10.0,19,8.075998572355665,47.481908657094095,3.145019628877195,25.031459325783015,172,208
1028,-21.21320343559643,-21.213203435596423,10.0,20,8.604970610083802,53.497133934174315,3.0863579908855194,50.28446836943905,173,190
1029,-21.21320343559643,-21.213203435596423,10.0,20,7.967594212735748,60.92846409443627,3.2313916309364914,227.10772571018393,158,173
1030,-21.21320343559643,-21.213203435596423,10.0,19,7.856355709910943,48.304221877340304,2.8785531804076734,16.46971104531375,155,183
1031,-5.510910596163089e-15,-30.0,10.0,527,8.11271113488,79.0050598106786,3.701569557956663,15.90453093837421,87,77
1032,-5.510910596163089e-15,-30.0,10.0,528,8.308250156426611,62.87045818628357,3.4458074142205133,18.206830213896655,86,70
1033,-5.510910596163089e-15,-30.0,10.0,527,8.43346311652531,79.64347731872121,3.911593615245704,18.847492154995507,97,79
1034,-5.510910596163089e-15,-30.0,10.0,526,8.690246165919035,68.77539451850707,3.4856526221073483,13.415026950571598,90,74
1035,-5.510910596163089e-15,-30.0,10.0,528,8.212551951530758,67.09605072811385,3.5392199986159403,34.5736723409842,77,73
1036,21.21320343559642,-21.21320343559643,10.0,526,8.97948149738555,42.606918840197764,3.354949806934863,32.40124354511851,39,34
1037,21.21320343559642,-21.21320343559643,10.0,525,7.997519845098119,61.26162198090511,3.5080690902592924,28.230225114558806,51,46
1038,21.21320343559642,-21.21320343559643,10.0,526,8.196213719618921,64.91990672801734,3.5334758122194114,63.318829337036,53,51
1039,21.21320343559642,-21.21320343559643,10.0,530,8.170967616876542,74.32029165818007,3.606691315406948,9.635789393013455,56,53
1040,21.21320343559642,-21.21320343559643,10.0,528,7.878180277239284,72.41960218308694,3.6436688509682966,11.031234155832767,52,48
1041,30.0,0.0,30.0,526,8.062954017238058,73.59479793093385,3.7800846148545677,36.821689055638856,74,56
1042,30.0,0.0,30.0,528,8.599065815063337,75.91119647044574,3.6830351203619487,10.324619079736507,101,74
1043,30.0,0.0,30.0,527,7.943129053436713,73.30291147169892,3.3858982911443802,56.119622391956575,74,64
1044,30.0,0.0,30.0,526,8.20291205214014,72.93519013189615,3.823889960397544,12.422956441119695,87,71
1045,30.0,0.0,30.0,528,8.727684411450022,55.921802887784786,3.2309124732906325,11.042446000309331,69,64
1046,21.213203435596427,21.213203435596427,30.0,526,8.096908072467839,72.4080546935316,3.6981966124504373,10.379064826350994,89,80
1047,21.213203435596427,21.213203435596427,30.0,528,8.577371836350133,85.00205364135824,3.7319018508430553,40.992365478761194,100,87
