seed,num_trees,tree_id,x,y,steps,height,crown_volume,crown_radius,asymmetry_radius,consumed_AP,AP_in_growth_radius,neighboring_trees
3001,1,0,0.0,0.0,527,8.040504571599797,49.29721693097085,3.34214277120549,27.22203419559069,25,27,0
3002,1,0,0.0,0.0,532,8.564384386209634,57.36104262845705,3.7128298930544616,11.442651689720678,48,45,0
3003,1,0,0.0,0.0,526,8.366244262448394,51.1519046691144,3.2837976783005276,14.99176553703593,31,31,0
3004,1,0,0.0,0.0,526,7.685359819081974,37.08557123109491,3.1739945036261807,11.566659758437556,26,25,0
3005,1,0,0.0,0.0,526,8.086322350552697,65.15568889713799,3.4737294802995162,26.001117404772735,36,32,0
3006,4,0,-0.75,-0.75,529,7.6948307011588595,20.074386323827763,2.7175406790313894,7.116919065938512,20,40,3
3006,4,1,-0.75,0.75,529,7.556024482187844,7.312044645071599,1.5945363740734433,6.424516594744797,19,38,3
3006,4,2,0.75,-0.75,529,8.435623944036644,20.63575845281905,2.0125768085406404,2.3536959614682402,13,28,3
3006,4,3,0.75,0.75,529,7.9079578214184645,20.858865946669567,2.8497418093010043,5.189243815330853,13,25,3
3007,4,0,-0.75,-0.75,526,6.458963434213043,14.902804536528745,2.517255088170289,72.90981540573074,16,35,3
3007,4,1,-0.75,0.75,526,6.943974175328419,22.02389969941319,2.4494537755396872,3.5510587760526513,19,38,3
3007,4,2,0.75,-0.75,526,8.232932458092643,24.425543794438887,2.5443210780945376,5.095791882891113,15,26,3
3007,4,3,0.75,0.75,526,8.03436763330348,14.77027618766524,2.4973740239435407,5.580196177420274,10,24,3
3008,4,0,-0.75,-0.75,524,8.16164770932321,2.532432701657297,1.4487490859849164,2.958826745679351,16,31,3
3008,4,1,-0.75,0.75,524,7.917467726344089,19.891417522480573,2.0975983486308967,18.275611017727105,16,35,3
3008,4,2,0.75,-0.75,524,7.000277056762133,4.574875196683273,1.4194878812393084,3.6761129758398425,4,24,3
3008,4,3,0.75,0.75,524,8.479443778539363,16.74485381608621,2.1387118643024956,10.848761801841166,10,26,3
3009,4,0,-0.75,-0.75,525,7.952377402266238,15.057464157160547,2.1279171010012132,3.0765186031507707,12,30,3
3009,4,1,-0.75,0.75,525,7.04707698781588,10.948233649534028,1.9366883355374267,5.774990228321322,14,31,3
3009,4,2,0.75,-0.75,525,8.116119668945807,5.212410818652308,1.4998418633529433,8.621304243491679,7,20,3
3009,4,3,0.75,0.75,525,8.245416389060088,14.759519724699386,2.2999311270998426,4.71083664155135,10,22,3
3010,4,0,-0.75,-0.75,528,7.26974832514407,16.190128316597644,2.088659828803919,57.88587056789716,16,41,3
3010,4,1,-0.75,0.75,528,6.990513837882948,21.60793261697382,2.4320482207837726,14.616234000689195,21,43,3
3010,4,2,0.75,-0.75,528,8.357199203330927,18.951667975787775,2.62557752553116,17.495332615447992,12,28,3
3010,4,3,0.75,0.75,528,7.995531738537112,22.970503043798953,2.3554398540784485,4.194396418214551,12,33,3
3011,9,0,-1.5,-1.5,528,8.373265169742584,15.93905483588911,2.5827103921812564,4.109412826094966,22,49,8
