sun_x,sun_y,sun_z,mean_height,mean_crown_radius,mean_crown_volume,mean_asymmetry,runs
-30.0,3.67394039744206e-15,10.0,7.823560916457299,2.8952767197056333,39.043496284839534,31.17712784584115,5
-30.0,3.67394039744206e-15,30.0,8.295015564661059,3.5334530017298547,65.19175625717779,25.808098560359678,5
-30.0,3.67394039744206e-15,60.0,8.426657456889348,3.7940114014440285,78.81691958636733,33.08729638767541,5
-21.21320343559643,-21.213203435596423,10.0,8.109621719549898,3.0751833444426375,51.46910608990263,66.47356572075175,5
-21.21320343559643,-21.213203435596423,30.0,8.168015043386026,3.4419340706220516,62.16794113221314,33.0749391719592,5
-21.21320343559643,-21.213203435596423,60.0,8.358073504116103,3.634075664740913,79.63739465075612,31.54595150816623,5
-21.213203435596423,21.213203435596427,10.0,8.101063491653019,3.1213742235900126,48.00358545794187,22.029825126520414,5
-21.213203435596423,21.213203435596427,30.0,8.223374442263822,3.4929240303522477,66.97603194076011,23.176294509157138,5
-21.213203435596423,21.213203435596427,60.0,8.480087241863862,3.7876946122064767,75.95766149742258,30.6236996662777,5
-5.510910596163089e-15,-30.0,10.0,8.351444505056342,3.616768641629234,71.47808811246087,20.189510519764433,5
-5.510910596163089e-15,-30.0,30.0,8.212726005980945,3.7771758235711497,74.32959669030768,66.7442798367774,5
-5.510910596163089e-15,-30.0,60.0,8.473063667489658,3.6868434890071833,74.76434885855828,48.567583962332776,5
1.83697019872103e-15,30.0,10.0,8.515654591461175,3.715204437366239,75.89140996462959,35.40783487994207,5
1.83697019872103e-15,30.0,30.0,8.54936124464682,3.633869578398733,71.08244882105278,29.77451380080555,5
1.83697019872103e-15,30.0,60.0,8.414109415967683,3.8053991407818755,82.16861134742024,39.56775478731778,5
21.21320343559642,-21.21320343559643,10.0,8.244472591243683,3.529370975157762,63.10566827807744,28.92346430911191,5
21.21320343559642,-21.21320343559643,30.0,8.544359759898995,3.802315709088618,77.09455440933877,36.549400361939284,5
21.21320343559642,-21.21320343559643,60.0,8.472239668268987,3.679533535867248,74.40088859798043,42.241603695635085,5
21.213203435596427,21.213203435596427,10.0,8.236564344831205,3.476788662722343,55.061611561779465,15.791913637756341,5
21.213203435596427,21.213203435596427,30.0,8.35405184870251,3.7380788046822664,77.4352261050447,26.226159600086667,5
21.213203435596427,21.213203435596427,60.0,8.35309053688967,3.7050758133680985,77.5593155652646,18.366625495658198,5
30.0,0.0,10.0,8.3820981947378,3.347398577353208,53.54436478718717,21.464189628184016,5
30.0,0.0,30.0,8.307149069865655,3.5807640920098143,70.3331797785519,25.346266593752194,5
30.0,0.0,60.0,8.29464485300983,3.770535509835047,77.62891438992162,24.326950134210513,5
