num_trees,mean_height,std_height,mean_crown_radius,std_crown_radius,mean_crown_volume,std_crown_volume,mean_asymmetry,std_asymmetry,mean_consumed_AP,mean_neighbors,runs
1,10.470442562207776,0.45506493950306,6.370632055035569,0.16937760215153602,280.2994045325086,31.0874727924659,81.8966827077533,132.32209998945126,151.6,0.0,5
4,11.67948051533475,1.701687136206935,7.116410186492907,0.9503495647004769,339.5641976319604,110.31445053823332,63.11342116843558,146.94908487317602,151.5,3.0,20
9,11.827383792192627,1.8008817812684512,6.154979430724776,1.6843750560278903,286.8815992481293,134.09456885925553,30.48796255927062,26.897579494192446,138.15555555555557,8.0,45
16,12.828391334625175,2.2372447847916828,5.784647341471006,1.847129611762386,270.9499062182398,133.8916684596645,53.189249994740656,161.62159983695705,136.2125,15.0,80
