num_trees,mean_height,std_height,mean_crown_radius,std_crown_radius,mean_crown_volume,std_crown_volume,mean_asymmetry,std_asymmetry,mean_consumed_AP,mean_neighbors,runs
1,8.1485630779785,0.3355593339690157,3.3972988652972353,0.2068761830743178,52.01028487135504,10.395634745420358,18.24484571711152,7.781391350745966,33.2,0.0,5
4,7.739874723684563,0.5896850334926464,2.1826725336520436,0.4285633741744223,15.722250956327292,6.514526424355531,13.017801676971434,18.668959735810475,13.75,3.0,20
9,7.770378241786991,0.6767248364118811,1.8411433578909513,0.5056722173206635,10.888667004457844,7.613251545463006,14.048197439958527,12.042428845444418,11.0,8.0,45
16,7.706932665197526,0.8328597416148473,1.4876236208450002,0.6199724386212679,7.00757004780169,7.587077059461764,14.488792518569621,21.06033763345548,8.775,15.0,80
